date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:18	6104/6104	---MCZ	200	added ('OK')	application/javascript	etag:%22gz[041e01646c312aeec1ecbfcf4c82c633]%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/smoothscroll/smoothscroll.min.js	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/smoothscroll/smoothscroll.min.js	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/index_startup.html)
17:16:18	4233/4233	---MCZ	200	added ('OK')	application/javascript	etag:%22gz[041e01646c312aeec1ecbfcf4c82c633]%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/backstretch/jquery.backstretch.min.js	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/backstretch/jquery.backstretch.min.js	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/index_startup.html)
17:16:18	1842/1842	---MCZ	200	added ('OK')	application/javascript	etag:%22gz[041e01646c312aeec1ecbfcf4c82c633]%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/contact-form/contact.js	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/contact-form/contact.js	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/index_startup.html)
17:16:18	9028/9028	---MCZ	200	added ('OK')	application/javascript	etag:%22gz[041e01646c312aeec1ecbfcf4c82c633]%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/waypoints/jquery.waypoints.min.js	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/waypoints/jquery.waypoints.min.js	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/index_startup.html)
17:16:19	10223/10223	---MCZ	200	added ('OK')	application/javascript	etag:%22gz[041e01646c312aeec1ecbfcf4c82c633]%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/js/theme.js	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/js/theme.js	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/index_startup.html)
17:16:19	64/64	---M--	200	added ('OK')	application/javascript	etag:%22041e01646c312aeec1ecbfcf4c82c633%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/js/custom.js	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/js/custom.js	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/index_startup.html)
17:16:19	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22041e01646c312aeec1ecbfcf4c82c633%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/ionicons/fonts/ionicons.eot?v=2.0.0	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/ionicons/fonts/ionicons28b5.eot	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/ionicons/css/ionicons.min.css)
17:16:19	188508/188508	---M--	200	added ('OK')	application/font-sfnt	etag:%22041e01646c312aeec1ecbfcf4c82c633%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/ionicons/fonts/ionicons.ttf?v=2.0.0	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/ionicons/fonts/ionicons28b5.ttf	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/ionicons/css/ionicons.min.css)
17:16:20	67904/67904	---M--	200	added ('OK')	application/font-woff	etag:%22041e01646c312aeec1ecbfcf4c82c633%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/ionicons/fonts/ionicons.woff?v=2.0.0	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/ionicons/fonts/ionicons28b5.woff	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/ionicons/css/ionicons.min.css)
17:16:20	333834/333834	---M--	200	added ('OK')	image/svg+xml	etag:%22041e01646c312aeec1ecbfcf4c82c633%22	https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/ionicons/fonts/ionicons.svg?v=2.0.0	D:/Templates%20Web/Plantilla%20Web%201%20-%20Delta%20Cargo/simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/ionicons/fonts/ionicons28b5.svg	(from https://simpleqode-wb.bitbucket.io/wolfram/3.0.1/assets/plugins/ionicons/css/ionicons.min.css)
